CPU 1 YBLPVDAKDLWAPP1,Combined System Load
2019-01-05 5:50:03,316.6607988
2019-01-05 23:00:08,-22.43970785
2019-01-05 9:20:04,247.861103
2019-01-05 8:40:04,187.3610226
2019-01-05 12:10:05,-268.2389363
2019-01-05 23:00:08,-178.2389168
2019-01-05 18:10:07,-88.53941208
2019-01-05 12:50:06,164.5565113
2019-01-05 18:10:07,-38.03954786
2019-01-05 16:40:07,66.36052923
2019-01-05 14:30:06,-131.2390131
2019-01-05 15:10:06,312.9607583
2019-01-05 12:10:05,-255.7411674
2019-01-05 20:10:08,386.8590608
2019-01-05 13:50:06,158.5598042
2019-01-05 19:50:07,164.5592315
2019-01-05 7:50:04,-146.5386219
2019-01-05 12:50:06,293.0608768
2019-01-05 4:40:03,-207.3394087
2019-01-05 14:10:06,418.5595643
2019-01-05 19:20:07,-17.54082095
2019-01-05 11:10:05,66.86138818
2019-01-05 14:30:06,320.4608852
2019-01-05 14:40:06,-112.639692
2019-01-05 19:10:07,-326.4388289
2019-01-05 6:50:04,-287.4391556
2019-01-05 15:00:06,-86.94028476
2019-01-05 0:40:02,-249.939786
2019-01-05 1:30:02,-31.43930153
2019-01-05 13:20:06,-151.0388151
2019-01-05 22:10:08,-93.13904284
2019-01-05 5:20:03,-300.2397397
2019-01-05 9:10:04,-26.33919064
2019-01-05 18:00:07,-20.3387554
2019-01-05 10:10:05,47.36003031
2019-01-05 8:50:04,-162.4389777
2019-01-05 9:50:05,154.4600543
2019-01-05 8:00:04,138.1604535
2019-01-05 10:50:05,-67.43952441
2019-01-05 21:10:08,-98.93940392
2019-01-05 14:20:06,39.36125932
2019-01-05 14:30:06,-17.83865988
2019-01-05 14:30:06,-104.438999
2019-01-05 13:00:06,145.5602831
2019-01-05 1:00:02,37.16048098
2019-01-05 5:40:03,378.560543
2019-01-05 17:30:07,-304.6396624
2019-01-05 9:40:05,-217.0386564
2019-01-05 7:30:04,-195.6391734
2019-01-05 23:40:09,14.56042112
2019-01-05 18:00:07,-60.040583
2019-01-05 19:20:07,301.9602805
2019-01-05 10:00:05,-63.53889204
2019-01-05 13:50:06,22.85854568
2019-01-05 22:50:08,-234.038663
2019-01-05 7:20:04,-291.1400779
2019-01-05 15:50:06,-265.7404715
2019-01-05 15:20:06,208.6610377
2019-01-05 3:50:03,-32.73924935
2019-01-05 19:30:07,-157.4397598
2019-01-05 12:00:05,52.76134252
2019-01-05 21:30:08,27.56109633
2019-01-05 14:10:06,-234.3397063
2019-01-05 9:50:05,185.1616172
2019-01-05 17:20:07,312.5612155
2019-01-05 14:10:06,176.9599914
2019-01-05 9:30:04,232.6605265
2019-01-05 9:30:04,235.0587055
2019-01-05 6:20:04,53.56089026
2019-01-05 3:10:03,31.35921423
2019-01-05 3:20:03,291.8601558
2019-01-05 14:40:06,232.0603652
2019-01-05 9:00:04,142.4610484
2019-01-05 7:40:04,82.86106377
2019-01-05 1:00:02,-81.73886895
2019-01-05 0:10:02,-153.1383938
2019-01-05 22:50:08,155.560248
2019-01-05 13:30:06,0.5600280348
2019-01-05 12:50:06,201.0613727
2019-01-05 1:00:02,2.860983675
2019-01-05 16:20:07,29.76098204
2019-01-05 10:00:05,191.1606204
2019-01-05 2:30:03,-164.0406023
2019-01-05 4:10:03,495.3608619
2019-01-05 1:20:02,171.1582207
2019-01-05 8:30:04,103.8584199
2019-01-05 6:40:04,89.35995564
2019-01-05 21:30:08,123.459972
2019-01-05 1:40:02,93.66112497
2019-01-05 1:40:02,97.0608971
2019-01-05 18:40:07,-146.9404986
2019-01-05 11:10:05,-103.7389081
2019-01-05 5:50:03,5.661013715
2019-01-05 20:10:08,174.1613065
2019-01-05 12:00:05,-106.5391823
2019-01-05 0:20:02,-144.1390407
2019-01-05 16:00:06,88.66048986
2019-01-05 12:50:06,102.7605302
2019-01-05 4:50:03,-35.83890484
2019-01-05 20:30:08,-118.2420534
2019-01-05 19:50:07,139.9605686
2019-01-05 20:30:08,-343.7398609
2019-01-05 19:10:07,-209.9390597
2019-01-05 11:40:05,211.9594504
2019-01-05 21:00:08,-121.7404046
2019-01-05 7:30:04,-382.2395012
2019-01-05 21:30:08,305.1615109
2019-01-05 12:10:05,428.5615821
2019-01-05 6:10:04,257.8611471
2019-01-05 3:20:03,129.2608699
2019-01-05 6:50:04,366.9598515
2019-01-05 18:30:07,-9.342330912
2019-01-05 5:50:03,-244.4398822
2019-01-05 18:10:07,-373.9392915
2019-01-05 18:30:07,129.460746
2019-01-05 16:20:07,-163.0396408
2019-01-05 7:50:04,280.0575281
2019-01-05 6:10:04,131.3603702
2019-01-05 13:50:06,-114.2399971
2019-01-05 13:00:06,379.4606647
2019-01-05 14:20:06,-34.24176604
2019-01-05 0:10:02,-80.44102408
2019-01-05 21:30:08,189.6608512
2019-01-05 8:50:04,156.7605746
2019-01-05 13:20:06,-291.5397741
2019-01-05 0:30:02,-142.6398052
2019-01-05 14:00:06,234.8600337
2019-01-05 5:20:03,-280.1393014
2019-01-05 16:10:06,475.7603106
2019-01-05 13:40:06,160.7579589
2019-01-05 0:10:02,-212.2392927
2019-01-05 12:10:05,249.0598064
2019-01-05 6:10:04,49.66064911
2019-01-05 11:20:05,-69.63945447
2019-01-05 16:10:06,-331.7396369
2019-01-05 21:30:08,-88.339765
2019-01-05 7:40:04,-12.13964495
2019-01-05 22:20:08,-15.83947487
2019-01-05 15:10:06,513.5591508
2019-01-05 21:50:08,-325.9396568
2019-01-05 7:30:04,-191.0390645
2019-01-05 19:10:07,-266.3388936
2019-01-05 0:10:02,-99.6403112
2019-01-05 22:00:08,-123.0395258
2019-01-05 12:30:05,17.46094641
2019-01-05 9:30:04,-242.839198
2019-01-05 18:50:07,291.8606804
2019-01-05 7:40:04,-32.838943
2019-01-05 18:00:07,-30.13970114
2019-01-05 7:30:04,-194.0391067
2019-01-05 12:40:05,-58.43902852
2019-01-05 12:50:06,5.46071736
2019-01-05 4:00:03,-179.6392314
2019-01-05 5:50:03,-82.94172385
2019-01-05 5:40:03,-101.5390854
2019-01-05 12:40:05,-80.53901856
2019-01-05 13:00:06,-107.1385502
2019-01-05 11:40:05,-109.6402614
2019-01-05 7:50:04,168.3609783
2019-01-05 12:00:05,-86.5403966
2019-01-05 18:30:07,456.4584331
2019-01-05 2:10:02,-267.1391086
2019-01-05 10:40:05,-169.1416333
2019-01-05 20:00:07,104.2616392
2019-01-05 18:50:07,200.7601657
2019-01-05 18:10:07,-70.83907324
2019-01-05 0:20:02,527.7610964
2019-01-05 2:40:03,-95.93985651
2019-01-05 3:40:03,127.4603939
2019-01-05 6:20:04,284.1602821
2019-01-05 8:40:04,-183.1383484
2019-01-05 19:10:07,95.06089675
2019-01-05 9:00:04,161.8601882
2019-01-05 16:40:07,186.7587055
2019-01-05 4:50:03,28.86103967
2019-01-05 12:10:05,552.4594888
2019-01-05 13:00:06,-115.6401721
2019-01-05 4:50:03,-185.9384943
2019-01-05 14:30:06,236.8566062
2019-01-05 13:00:06,-82.73993015
2019-01-05 16:00:06,-138.0396063
2019-01-05 6:00:03,-72.53935567
2019-01-05 19:20:07,-316.4391464
2019-01-05 22:30:08,62.06068143
2019-01-05 19:50:07,140.2607356
2019-01-05 14:10:06,-209.9397153
2019-01-05 11:40:05,-144.1395233
2019-01-05 12:20:05,-198.2394994
2019-01-05 17:30:07,-227.3392193
2019-01-05 17:10:07,-198.5396073
2019-01-05 14:00:06,-213.3388569
2019-01-05 23:20:08,-209.2394459
2019-01-05 13:20:06,-349.9393754
2019-01-05 15:20:06,79.56144547
2019-01-05 16:20:07,-150.8387745
2019-01-05 8:20:04,-81.74077172
2019-01-05 11:00:05,-69.94023129
2019-01-05 11:00:05,-122.1392407
2019-01-05 6:30:04,141.2616817
2019-01-05 12:30:05,79.56087925
2019-01-05 19:30:07,-110.9393981
2019-01-05 23:00:08,390.8597671
2019-01-05 10:30:05,-34.83880128
2019-01-05 20:20:08,245.8616403
2019-01-05 0:40:02,-115.939015
2019-01-05 4:20:03,56.86043953
2019-01-05 19:30:07,363.9615295
2019-01-05 7:00:04,-300.9398359
2019-01-05 8:10:04,264.8611439
2019-01-05 15:10:06,-57.34003841
2019-01-05 1:50:02,-236.4396896
2019-01-05 2:40:03,-179.0406936
2019-01-05 19:00:07,80.86073533
2019-01-05 17:40:07,-206.1389454
2019-01-05 15:20:06,51.25919447
2019-01-05 4:40:03,-21.13892729
2019-01-05 17:10:07,-114.1391146
2019-01-05 7:20:04,556.5607497
2019-01-05 10:00:05,-306.1394212
2019-01-05 7:20:04,240.4605627
2019-01-05 9:10:04,-62.43916101
2019-01-05 21:30:08,-247.5391666
2019-01-05 2:40:03,180.7600521
2019-01-05 11:10:05,18.96040387
2019-01-05 9:00:04,-232.6400333
2019-01-05 1:30:02,164.4608401
2019-01-05 22:50:08,97.66020524
2019-01-05 5:30:03,-185.1395312
2019-01-05 23:30:09,-6.739315475
2019-01-05 9:20:04,-256.7402584
2019-01-05 21:30:08,376.1602565
2019-01-05 20:20:08,-86.13969131
2019-01-05 9:00:04,-262.7392466
2019-01-05 18:00:07,323.3607514
2019-01-05 4:10:03,54.55969937
2019-01-05 19:20:07,-155.4393454
2019-01-05 2:20:03,236.9609437
2019-01-05 8:10:04,-49.03840517
2019-01-05 0:50:02,408.5603077
2019-01-05 5:00:03,-127.0400343
2019-01-05 22:30:08,-82.13880731
